Provincias	Edad (año a año)	Españoles/Extranjeros	Sexo	Año	Total
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2016	648250
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2015	654170
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2014	659033
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2013	664916
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2012	670242
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2011	670600
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2010	670761
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2009	669782
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2008	667438
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2007	664742
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2006	662751
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2005	660284
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2004	654458
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2003	651565
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2002	647387
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2001	645781
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2000	645711
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	1999	649662
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	1998	645792
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2022	448179
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2021	451706
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2020	456439
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2019	460001
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2018	463746
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2017	468316
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2016	473604
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2015	479395
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2014	484694
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2013	489752
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2012	494451
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2011	497799
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2010	499284
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2009	500169
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2008	500200
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2007	497387
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2006	498223
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2005	495902
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2004	492720
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2003	495998
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2002	496655
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2001	499517
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2000	502155
24 León	TOTAL EDADES	TOTAL	Ambos sexos	1999	506511
24 León	TOTAL EDADES	TOTAL	Ambos sexos	1998	506365
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2022	441443
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2021	439727
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2020	438517
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2019	434930
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2018	432866
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2017	432384
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2016	434041
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2015	436029
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2014	438001
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2013	440915
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2012	443032
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2011	442308
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2010	439768
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2009	436402
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2008	426872
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2007	414015
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2006	407496
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2005	399439
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2004	385092
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2003	377639
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2002	371055
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2001	365023
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2000	361590
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	1999	359361
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	1998	357903
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2022	323989
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2021	326013
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2020	327946
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2019	329587
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2018	331327
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2017	333634
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2016	336527
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2015	339386
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2014	342748
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2013	346005
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2012	348902
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2011	351530
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2010	353504
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2009	355195
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2008	355549
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2007	355176
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2006	356595
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2005	357625
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2004	358452
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2003	360512
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2002	361782
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2001	364125
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	2000	365619
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	1999	366934
27 Lugo	TOTAL EDADES	TOTAL	Ambos sexos	1998	367751
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2022	6750336
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2021	6751251
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2020	6779888
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2019	6663394
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2018	6578079
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2017	6507184
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2016	6466996
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2015	6436996
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2014	6454440
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2013	6495551
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2012	6498560
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2011	6489680
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2010	6458684
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2009	6386932
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2008	6271638
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2007	6081689
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2006	6008183
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2005	5964143
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2004	5804829
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2003	5718942
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2002	5527152
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2001	5372433
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	2000	5205408
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	1999	5145325
28 Madrid	TOTAL EDADES	TOTAL	Ambos sexos	1998	5091336
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2022	1717504
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2021	1695651
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2020	1685920
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2019	1661785
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2018	1641121
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2017	1630615
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2016	1629298
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2015	1628973
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2014	1621968
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2013	1652999
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2012	1641098
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2011	1625827
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2010	1609557
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2009	1593068
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2008	1563261
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2007	1517523
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2006	1491287
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2005	1453409
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2004	1397925
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2003	1374890
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2002	1330010
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2001	1302240
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	2000	1278851
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	1999	1258084
29 Málaga	TOTAL EDADES	TOTAL	Ambos sexos	1998	1240580
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2022	1531878
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2021	1518486
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2020	1511251
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2019	1493898
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2018	1478509
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2017	1470273
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2016	1464847
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2015	1467288
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2014	1466818
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2013	1472049
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2012	1474449
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2011	1470069
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2010	1461979
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2009	1446520
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2008	1426109
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2007	1392117
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2006	1370306
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2005	1335792
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2004	1294694
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2003	1269230
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2002	1226993
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2001	1190378
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	2000	1149328
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	1999	1131128
30 Murcia	TOTAL EDADES	TOTAL	Ambos sexos	1998	1115068
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2022	664117
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2021	661537
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2020	661197
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2019	654214
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2018	647554
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2017	643234
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2016	640647
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2015	640476
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2014	640790
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2013	644477
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2012	644566
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2011	642051
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2010	636924
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2009	630578
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2008	620377
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2007	605876
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2006	601874
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2005	593472
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2004	584734
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2003	578210
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2002	569628
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2001	556263
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	2000	543757
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	1999	538009
31 Navarra	TOTAL EDADES	TOTAL	Ambos sexos	1998	530819
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2022	304280
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2021	305223
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2020	306650
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2019	307651
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2018	309293
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2017	311680
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2016	314853
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2015	318391
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2014	322293
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2013	326724
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2012	330257
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2011	333257
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2010	335219
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2009	335642
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2008	336099
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2007	336926
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2006	338671
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2005	339555
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2004	340258
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2003	342213
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2002	343768
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2001	344623
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	2000	345241
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	1999	345620
32 Ourense	TOTAL EDADES	TOTAL	Ambos sexos	1998	344170
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2022	158008
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2021	159123
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2020	160321
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2019	160980
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2018	162035
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2017	163390
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2016	164644
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2015	166035
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2014	167609
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2013	168955
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2012	170713
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2011	171668
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2010	172510
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2009	173306
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2008	173454
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2007	173281
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2006	173153
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2005	173471
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2004	173990
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2003	175047
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2002	176125
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2001	177345
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	2000	178316
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	1999	179465
34 Palencia	TOTAL EDADES	TOTAL	Ambos sexos	1998	179623
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2022	1129395
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2021	1128539
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2020	1131065
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2019	1120406
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2018	1109175
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2017	1100480
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2016	1097800
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2015	1098406
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2014	1100027
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2013	1103850
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2012	1100813
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2011	1096980
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2010	1090605
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2009	1083502
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2008	1070032
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2007	1042131
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2006	1024186
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2005	1011928
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2004	987128
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2003	979606
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2002	951037
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2001	924558
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	2000	897595
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	1999	872669
35 Palmas, Las	TOTAL EDADES	TOTAL	Ambos sexos	1998	849863
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2022	943015
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2021	944275
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2020	945408
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2019	942665
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2018	941772
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2017	942731
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2016	944346
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2015	947374
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2014	950919
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2013	955050
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2012	958428
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2011	963511
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2010	962472
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2009	959764
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2008	953400
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2007	947639
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2006	943117
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2005	938311
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2004	930931
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2003	927555
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2002	919934
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2001	916176
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	2000	912621
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	1999	908803
36 Pontevedra	TOTAL EDADES	TOTAL	Ambos sexos	1998	906298
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2022	319892
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2021	319796
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2020	319914
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2019	316798
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2018	315675
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2017	315381
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2016	315794
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2015	317053
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2014	319002
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2013	322027
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2012	323609
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2011	322955
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2010	322415
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2009	321702
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2008	317501
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2007	308968
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2006	306377
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2005	301084
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2004	293553
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2003	287390
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2002	281614
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2001	270400
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2000	264178
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	1999	265178
26 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	1998	263644
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2022	325898
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2021	327338
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2020	329245
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2019	330119
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2018	331473
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2017	333603
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2016	335985
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2015	339395
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2014	342459
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2013	345548
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2012	350564
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2011	352986
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2010	353619
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2009	354608
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2008	353404
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2007	351326
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2006	353110
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2005	352414
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2004	350984
37 Salamanca	TOTAL EDADES	TOTAL	Ambos sexos	2003	348271
